cust_id,label,basic_1,basic_2,basic_3,basic_4,basic_5,basic_6,basic_7,basic_8,basic_9,basic_10,basic_11,basic_12,basic_13,basic_14,basic_15,loan1_1,loan1_2,loan1_3,loan1_4,loan1_5,loan1_6,loan1_7,loan1_8,loan1_9,loan1_10,loan1_11,loan1_12,loan1_13,loan1_14,loan1_15,loan1_16,loan1_17,loan1_18,loan1_19,loan1_20,loan1_21,loan1_22,loan1_23,loan1_24,loan1_25,loan1_26,loan1_27,loan1_28,loan1_29,loan1_30,loan1_31,loan1_32,loan1_33,loan2_1,loan2_2,loan2_3,loan2_4,loan2_5,loan2_6,loan2_7,loan2_8,loan2_9,loan2_10,loan2_11,loan2_12,overdue_1,overdue_2,overdue_3,overdue_4,overdue_5,overdue_6,overdue_7,overdue_8,overdue_9,overdue_10,overdue_11,overdue_12,overdue_13,overdue_14,overdue_15,overdue_16,overdue_17,overdue_18,overdue_19,overdue_20,overdue_21,overdue_22,overdue_23,overdue_24,overdue_25,overdue_26,overdue_27,overdue_28,overdue_29,query_1,query_2,query_3,query_4,query_5,query_6,query_7,query_8,query_9,query_10,query_11
11,1,-99,-99,-99,-99,1,1,50,0,0,1,0,0,-99,1,-99,0,1,668,1,0,9965,9965,0,0,0,0,0,1,668,2,1,668,0,668,-99,576.25,6915,0,1,-99,0,0,20,0,20,13,1,9,0,0,11,11,11,1,11,0,0,0,11,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,0,0,0,0,4,0,2,2,0,2,2,0,0,3,0
12,1,1,247,0,0,1,1,48,0,0,3,0,0,138,1,-99,35.5056,0.8915485,36985,0.8915485,300000,41692.855,300000,0,0,6,1963,33.62112,0.8861618,8449,59,2,8449,8.11104,41484,1,55607.918,667295,0,15,1,252723,0,29.133333,0,240,20.125,7,2,15.30912,0,17,2,9,4,9,7.58304,13.81632,0,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1367,0,1,0,0,0,0,0,0,0,0,25,2,9,10,0,9,10,0,0,23,1
13,1,-99,-99,-99,-99,-99,-99,30,0,0,-99,0,0,-99,1,-99,0,3.647672,5249,3.647672,0,4150,7100,0,0,0,0,0,3.647672,1201,5,1,1201,0,1439,-99,332.16666,3986,0,3,-99,0,0,13.5,0,18,12,3,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,-99,-99,-99,-99,2,0,2,2,0,2,2,0,0,2,0
14,1,-99,-99,-99,-99,1,2,31,0,0,1,0,0,-99,1,-99,0,0,226,0,0,15965,15965,0,0,0,0,0,0,0,1,1,0,0,0,-99,1330.4166,15965,0,1,-99,0,0,3,0,3,3,1,4,0,0,3,2,2,2,3,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,6,0,0,0,0,4,5,0,0,6,0
15,1,1,148,0,0,1,1,42,0,0,2,0,0,78,2,-99,0,1.1753263,13414,1.1753263,610000,47433.332,610000,0,0,27,3656,0,1.2579606,3565,8,2,3656,0,11413,-99,58487.582,701851,0,4,-99,574532,0,90,0,300,79,5,2,0,0,19,2,13,11,13,0,0,0,13,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,0,0,0,0,6,5,2,2,0,4,4,1,0,4,2
16,1,-99,-99,-99,-99,2,3,32,0,0,0,0,0,-99,1,-99,0,0.8927016,23778,0.8927016,0,33032.637,138000,0,0,0,0,0,0.8927016,11182,30,1,11182,0,26636,-99,20342.916,244115,0,11,-99,0,0,14.181818,0,26,8.333333,11,1,0,0,18,2,9,8,9,0,0,0,9,3,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,0,0,0,0,7,0,1,1,0,4,3,0,0,7,0
17,1,-99,-99,-99,-99,2,2,29,0,0,3,0,0,-99,1,-99,0,1.1583838,11095,1.1583838,0,16411.111,52000,0,0,0,0,0,1.1583838,4001,40,2,4001,0,9578,-99,8995.917,107951,0,10,-99,0,27394,13.444445,0,24,10.4,7,1,0,0,15,2,11,6,11,0,0,0,11,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0,3,0
18,1,-99,-99,-99,-99,2,2,33,0,0,5,0,0,-99,1,-99,0,1,12770,1,0,63475,108400,0,0,0,0,0,1,4584,15,2,4584,0,12770,-99,11039.417,132473,0,5,-99,0,26116,22.75,0,37,6.6,5,6,0,0,47,11,25,11,25,0,0,0,25,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,1,2,2,0,3,2,0,0,22,0
19,1,-99,-99,-99,-99,1,1,31,0,0,2,0,0,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,22,11,14,3,14,0,0,0,14,4,0,-99,0,0,0,0,0,0,0,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,5,5,0,0,0,1,1,1,0,0,1
20,1,-99,-99,-99,-99,-99,-99,45,0,0,-99,0,0,-99,2,-99,0,1,3611,1,0,15550,30100,0,0,0,0,0,1,3517,5,2,3517,0,3611,-99,987.5,11850,0,3,-99,0,917,10.5,0,12,9.666667,3,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,-99,-99,-99,-99,3,0,1,1,0,2,2,0,0,2,0
21,1,-99,-99,-99,-99,0,1,22,0,0,-99,0,0,-99,2,-99,0,1,296,1,0,4075,11300,0,0,0,0,0,1,296,5,1,296,0,296,-99,1339.6666,16076,0,4,-99,0,0,12.5,0,13,12,2,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,-99,-99,-99,-99,3,1,3,4,0,4,4,1,0,3,1
22,1,-99,-99,-99,-99,1,1,36,0,0,2,0,0,-99,1,-99,0,1,6166,1,0,18383.908,40000,0,0,0,0,0,1,2802,63,3,2802,0,6166,-99,15057.417,180689,0,11,-99,0,61097,14.636364,0,29,7.2727275,7,4,0,0,9,2,8,7,9,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,0,1,0,0,0,0,0,1,0,0,10,1,1,1,0,1,1,0,0,5,1
23,1,1,78,1088,1088,1,1,36,0,0,5,0,0,2,1,-99,6.376544,1,28907,1,0,21882.928,159501,0,0,0,0,6.376544,1,13892,57,2,13892,3.0644119,28907,-99,12659.667,151916,0,17,-99,0,53698,16.642857,0,53,10.235294,8,2,15.270883,0,33,11,27,8,27,1.0844117,3.046103,0,27,1,0,1,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,14995,7,1,2,2,0,0,0,0,0,0,7,0,2,2,0,3,3,0,0,5,0
24,1,1,58,0,0,0,1,47,0,0,0,0,0,53,1,-99,0,0,0,0,0,7931,7931,0,0,0,0,0,0,0,4,1,0,0,0,-99,660.9167,7931,0,1,-99,0,0,12,0,12,12,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,-99,-99,-99,-99,2,0,0,0,0,1,1,0,0,2,0
25,1,1,19,480,480,2,2,28,0,0,3,0,0,10,1,-99,30.89475,14.586757,123579,14.586757,0,90340,235000,0,0,0,0,30.89475,14.586757,3773,34,2,3773,0.94325,8472,-99,25169.75,302037,0,7,-99,0,10000,24.4,0,36,19.333334,7,1,18.87825,0,21,2,9,6,9,0.686,2.4245,0,9,4,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,0,0,0,0,14,10,3,5,0,8,7,3,0,9,4
26,1,1,73,248,248,3,3,29,0,0,4,0,0,2,1,-99,15.647178,1,38805,1,0,22462.54,54000,0,0,0,0,15.647178,1,4349,50,2,4349,1.7536291,38805,-99,31558.334,378700,0,27,-99,0,43857,17,0,50,9.851851,16,1,1.5544355,0,8,2,2,1,2,1.5544355,1.5544355,0,2,4,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,0,0,0,0,36,0,3,4,0,5,6,0,0,23,0
27,1,-99,-99,-99,-99,2,2,34,0,0,3,0,0,-99,1,-99,0,1,43476,1,0,33916.668,150000,0,0,0,0,0,1,13327,37,2,13327,0,43476,-99,32191.5,386298,0,19,-99,0,299952,13.055555,0,24,10.894737,5,1,0,0,1,1,0,0,0,0,0,0,0,1,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,0,0,0,0,6,0,0,0,0,3,4,0,0,5,0
28,1,-99,-99,-99,-99,1,1,43,0,0,4,0,0,-99,1,-99,0,3.642239,45874,3.642239,0,47371.43,180000,0,0,0,0,0,3.642239,5558,10,3,5558,0,12595,-99,19577.334,234928,1,7,-99,0,0,18,36,36,11,5,4,0,0,5,1,5,4,5,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6771,0,-99,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0
29,1,-99,-99,-99,-99,-99,-99,41,0,0,-99,0,0,-99,1,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,-99,33.333332,400,0,1,-99,0,0,0,0,0,12,1,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,-99,-99,-99,-99,10,0,1,1,0,3,3,0,0,6,0
30,1,1,85,0,482,2,2,30,0,0,2,0,0,16,1,-99,0,1.0498691,18042,1.0498691,0,46868.5,83000,0,0,0,0,0,1.0498691,4569,60,2,4569,0,17185,-99,18040.584,216487,1,8,-99,0,0,19.5,24,45,15.375,5,2,0,0,10,2,5,3,6,0,0,0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,2,0,0,0,2,2,1,0,2,2
31,1,1,97,416,416,1,1,47,0,0,5,0,0,12,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,5.2217307,0,19,11,14,4,14,4.3090386,5.220577,0,14,2,0,-99,0,0,0,0,0,0,0,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,3,2,1,1,0,1,1,0,0,1,1
32,1,-99,-99,-99,-99,1,1,41,0,0,3,0,0,-99,1,-99,0,1,1051,1,0,11450,11450,0,0,0,0,0,1,1051,18,1,1051,0,1051,-99,881.75,10581,0,1,-99,0,0,13,0,13,11,1,3,0,0,5,1,4,2,4,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
33,1,-99,-99,-99,-99,1,2,31,0,0,2,0,0,-99,1,-99,0,0.65029573,3628,0.65029573,0,26750,72000,0,0,0,0,0,0.65029573,2452,13,3,2452,0,5579,1,9696.833,116362,1,6,1,0,0,22,36,36,19.333334,5,2,0,0,8,2,5,3,5,0,0,0,5,1,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,0,0,0,0,3,2,0,0,0,3,4,1,0,2,1
34,1,3,212,0,0,2,3,47,0,0,3,0,0,9,2,-99,0,1,20454,1,0,20900,31000,0,0,0,0,0,1,20454,7,1,20454,0,20454,-99,1983.3334,23800,0,3,-99,0,0,19.5,0,27,12,3,1,0,0,1,1,1,1,1,0,0,0,1,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,0,0,0,0,6,6,4,6,0,5,6,1,0,4,2
35,1,-99,-99,-99,-99,1,1,28,0,0,5,0,0,-99,1,-99,0,0.91023564,7879,0.91023564,0,180648.5,500000,0,0,0,0,0,0.91023564,6080,5,2,6080,0,8656,-99,58559.75,702717,0,4,-99,0,483371,46.75,0,120,39.5,4,1,0,0,14,2,10,6,10,0,0,0,9,3,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,0,0,0,0,8,4,1,1,0,2,3,1,0,3,3
36,1,-99,-99,-99,-99,1,1,38,0,0,1,0,0,-99,1,-99,0,0,0,0,0,20000,20000,0,0,0,0,0,0,0,4,1,0,0,0,-99,1600,19200,0,1,-99,0,0,0,0,0,0,1,13,0,0,7,2,7,4,7,0,0,0,4,3,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2
37,1,-99,-99,-99,-99,2,2,34,0,0,2,0,0,-99,2,-99,0,1.1478164,25757,1.1478164,0,19428.572,82300,0,0,0,0,0,1.1478164,11802,29,1,11802,0,22440,-99,8102.6665,97232,0,9,-99,0,0,9.285714,0,35,4.111111,6,1,0,0,9,2,6,4,6,0,0,0,6,1,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,0,0,0,0,6,0,2,2,0,4,4,0,0,6,0
38,1,-99,-99,-99,-99,2,4,25,0,0,2,0,0,-99,2,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-99,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,6,2,1,1,1,0,0,0,1,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
39,1,1,96,0,0,1,1,38,0,0,5,0,0,12,1,-99,0,1.0267235,32004,1.0267235,250000,40600,250000,0,0,25,1961,0,1.0285176,20796,20,3,20796,0,31171,-99,27531,330372,0,6,-99,169466,0,41.666668,0,180,21.571428,7,2,0,0,50,3,26,16,26,0,0,0,26,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,4,1,1,0,3,3,2,0,2,3
40,1,-99,-99,-99,-99,2,2,31,0,0,2,0,0,-99,1,-99,0,20.623188,32729,20.623188,0,61500,83000,0,0,0,0,0,20.623188,986,83,1,986,0,1587,-99,9166.667,110000,0,2,-99,0,0,14,0,16,7,2,8,0,0,17,2,7,4,7,0,0,0,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0
41,1,-99,-99,-99,-99,2,2,48,0,0,2,0,0,-99,2,-99,0,1,2016,1,0,26000,30000,0,0,0,0,0,1,2016,10,1,2016,0,2016,-99,4027.75,48333,0,2,-99,0,48333,12,0,12,10,2,3,0,0,2,1,2,2,2,0,0,0,2,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,0,0,0,0,11,0,5,9,0,11,15,0,0,11,0
42,1,-99,-99,-99,-99,2,3,34,0,0,3,0,0,-99,1,-99,0,1,5518,1,156000,22543.5,156000,0,0,16,1245,0,1,1483,26,5,1483,0,5518,-99,20519.166,246230,1,8,-99,106542,0,36.333332,36,180,19.444445,7,5,0,0,19,12,13,3,13,0,0,0,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,-99,0,0,0,0,0,0,0,0,6,1,1,2,0,3,4,1,0,2,1
43,1,2,237,1425,1425,1,2,45,0,0,3,0,0,11,1,-99,0,1,317,1,0,724.25,2000,0,0,0,0,0,1,178,4,1,178,0,317,-99,99.916664,1199,0,4,-99,0,0,7.75,0,12,4,1,2,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,179,1,-99,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
44,1,2,213,951,951,2,4,40,0,0,4,0,0,3,1,-99,3.3579957,1,31498,1,530000,106471.43,530000,0,0,3,3103,3.0271854,1,8069,8,3,8069,0.86023456,31498,-99,80424.5,965094,0,7,-99,401999,0,67.5,0,300,44.625,6,4,9.559702,0,10,2,5,5,6,0.8941365,1.7746269,0,6,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4419,2,1,1,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,6,0
45,1,-99,-99,-99,-99,1,1,21,0,0,2,0,0,-99,1,-99,0,0.9418915,6354,0.9418915,490000,15207.2,490000,0,0,43,3401,0,0.8828102,2400,7,3,3401,0,6746,-99,44237,530844,1,5,-99,476894,0,55.5,25,240,49.666668,5,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,-99,-99,-99,-99,5,1,0,0,0,2,3,0,0,3,0
46,1,-99,-99,-99,-99,3,4,36,0,0,3,0,0,-99,1,-99,0,1.0249771,77026,1.0249771,0,167616.06,2000000,0,0,0,0,0,1.0249771,23078,31,2,23078,0,75149,-99,146061.42,1752737,0,16,-99,0,1461076,31.533333,0,120,14.266666,14,2,0,0,13,3,13,10,13,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22773,1,-99,0,0,0,0,0,0,0,0,25,3,2,3,0,10,8,1,0,18,1
47,1,1,82,1868,1868,2,2,31,0,0,1,0,0,9,1,-99,0,0,0,0,0,19050,23100,0,0,0,0,0,0,0,59,1,0,0,0,-99,3175,38100,0,2,-99,0,0,5,0,6,4.5,2,1,0,0,2,1,1,1,1,0,0,0,0,2,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,0,0,0,0,12,0,6,7,0,7,8,0,0,7,0
48,1,-99,-99,-99,-99,1,1,30,0,0,3,0,0,-99,1,-99,0,1,4311,1,0,86250,102500,0,0,0,0,0,1,2233,15,2,2233,0,4311,-99,13260.833,159130,1,2,-99,0,0,48,60,60,43.5,2,3,0,0,12,11,12,1,12,0,0,0,12,0,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,0,0,0,0,10,3,4,8,0,10,11,2,0,9,3
49,1,-99,-99,-99,-99,1,1,46,0,0,3,0,0,-99,1,-99,0,1,922,1,0,29180,29180,0,0,0,0,0,1,922,6,1,922,0,922,-99,76.25,915,1,1,-99,0,0,36,36,36,1,1,37,0,0,9,2,5,4,5,0,0,0,5,2,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,0,0,0,0,3,0,1,1,0,1,1,0,0,1,0
50,1,1,52,314,314,1,4,38,0,0,2,0,0,3,2,-99,18.071974,1,28373,1,270000,102740,289000,0,0,43,2123,16.719746,1,9003,19,2,9003,5.734395,28373,-99,48036.25,576435,0,5,-99,250875,0,58.166668,0,240,46.666668,6,4,53.33376,0,18,2,17,11,17,8.552229,21.653503,0,15,2,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0
51,1,-99,-99,-99,-99,2,3,32,0,0,2,0,0,-99,1,-99,0,1,2775,1,0,5433.3335,11000,0,0,0,0,0,1,2058,3,2,2058,0,2775,-99,659.75,7917,0,3,-99,0,1000,12,0,12,8.333333,3,2,0,0,4,2,2,2,2,0,0,0,2,2,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,-99,0,0,0,0,0,0,0,0,10,11,5,13,0,18,17,8,0,10,11
52,1,-99,-99,-99,-99,1,1,33,0,0,5,0,0,-99,1,-99,0,1,38236,1,460000,39871.43,460000,0,0,28,2651,0,1,20345,24,4,20345,0,38236,-99,55854.25,670251,0,7,-99,451864,46863,74.42857,0,360,55.42857,8,3,0,0,20,2,14,8,14,0,0,0,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2127,0,-99,0,0,0,0,0,0,0,0,17,1,1,1,0,5,6,0,0,8,0
