cust_id,loan2_1,loan2_2,loan2_3,loan2_4,loan2_5
68,2,17,230000,7040,51832
69,2,2,43000,9655,11429
70,14,42,628865,262400,458395
71,1,1,0,0,0
72,6,8,160600,125805,123435
73,1,9,50000,0,0
74,4,4,115000,115279,115191
75,3,14,55000,32208,25602
76,3,7,240000,94978,99019
77,8,12,453136,304923,300573
78,7,11,155200,50718,36424
79,7,10,224520,117381,118464
80,14,36,405800,51217,72448
81,7,24,105000,5711,19755
82,5,6,282000,226966,239447
83,2,4,33161,0,4014
84,1,1,4000,0,0
85,7,22,135000,80020,85736
86,6,14,229892,51363,77949
88,4,5,45000,1366,795
89,2,2,156000,0,0
90,6,7,181000,104435,101057
91,1,1,20000,19884,19700
92,5,17,131792,136327,175694
93,4,5,78500,3698,1788
94,11,15,396001,243155,226822
95,7,22,148400,75570,75744
96,5,15,111395,98205,58196
97,7,28,90600,86008,89110
98,4,6,43000,1532,1480
99,2,2,187200,100844,111762
100,4,8,164000,128875,89000
101,4,24,206000,135479,107773
102,5,9,211200,31253,71491
103,4,16,75000,34542,32455
104,4,10,62700,39312,56914
105,11,14,550459,241213,205532
106,6,15,543023,181087,192308
107,2,4,20000,32119,34656
108,4,5,34500,23857,24027
109,2,3,17000,0,2622
110,7,9,173200,104493,56033
111,9,18,287118,83113,129668
112,3,4,217200,129018,95525
113,2,14,75000,60650,37571
114,4,7,126000,15089,15368
115,7,34,257651,224796,230401
116,4,4,55000,1567,11353
117,5,6,38000,23755,20975
118,3,7,220000,136631,149421
119,8,12,227800,140863,117942
120,6,19,666000,414609,322833
121,12,32,1768539,757963,759326
122,7,14,490592,286222,317019
123,7,14,156946,132739,143499
124,3,6,127000,89381,90540
125,1,2,218000,46453,51507
126,3,3,14000,0,0
127,5,6,89000,0,33
128,4,15,124500,73298,61739
129,9,11,176128,136919,130749
130,3,18,67570,46721,47843
131,4,4,73000,2816,7133
132,6,10,260800,132972,127901
133,1,1,30000,0,0
134,2,2,50000,0,0
135,8,15,585600,466012,468068
136,5,9,268954,34495,49937
137,3,9,132176,85645,79992
138,3,17,56000,20000,16507
139,9,25,266328,153776,162477
140,6,7,99000,95480,71517
141,6,15,317190,304610,302959
142,6,9,349000,21215,91687
143,7,13,215400,148147,153468
144,1,11,3000,0,0
145,11,28,195794,146723,147664
146,4,26,195000,191104,166804
147,6,18,318001,135151,166595
149,5,6,33000,10028,16524
150,8,15,261300,147284,100937
151,16,55,833480,265293,214926
152,6,16,61000,59362,58951
153,8,13,181900,28100,5069
154,11,18,421763,297829,283997
155,4,7,411848,278080,172101
156,7,9,281757,269361,153424
157,9,16,497724,119061,126285
158,2,8,88000,28093,30616
159,2,8,20000,0,0
160,2,12,10000,7193,2555
162,4,5,32000,15490,20441
163,3,7,106000,60151,38813
164,2,3,145000,4871,8961
165,6,9,195000,120050,114360
166,6,17,60800,31391,21680
167,11,29,540500,387794,371356
168,3,4,21000,10353,11453
169,6,7,244001,228035,232316
170,9,15,475633,323411,238398
171,8,17,249600,228074,241211
172,3,5,410000,18554,22934
173,1,2,3000,0,0
174,5,17,146000,0,7157
175,1,4,17000,15500,7705
176,1,1,0,0,0
177,8,14,835000,524837,537418
178,6,8,164600,69212,77634
179,4,15,150000,63900,72402
180,8,14,519085,421178,458560
181,11,18,839416,646189,663860
182,1,3,10826,0,0
183,5,19,534000,374056,293930
184,4,6,288000,257226,257065
185,4,16,102000,60230,79023
186,8,31,360153,85025,82387
187,1,1,3000,0,1542
188,3,13,41000,13855,5758
189,5,10,164300,122516,122263
190,8,13,291500,235689,214121
191,2,3,42000,16522,37309
192,1,1,6000,5070,5070
193,9,12,260601,243,17712
194,1,1,9000,0,1545
195,8,12,78800,68506,55062
196,1,1,15000,4115,3393
197,2,2,25000,0,0
198,1,1,15000,0,0
199,10,17,412000,22429,33429
200,1,1,7000,17,1403
201,12,24,322660,322727,316534
202,5,7,67000,58997,43255
203,1,2,3000,0,0
204,2,3,33000,0,767
205,2,2,56000,9173,16114
206,1,16,15000,5758,8975
207,2,6,9001,1925,2001
208,1,2,20000,12690,2115
209,8,11,272757,141565,168183
210,4,7,133400,63157,91496
211,6,8,101466,48698,15042
212,6,10,292410,177627,180541
213,10,10,299000,208069,222469
214,4,5,67000,20575,13732
215,11,17,466275,311235,336121
216,4,6,74000,59982,59840
217,5,6,307000,345377,332686
218,4,12,94000,4688,28227
219,2,2,15000,11817,5815
220,2,2,36000,381,920
221,1,1,2000,0,0
222,6,11,123072,22028,17156
223,2,12,20000,14795,10899
224,7,18,157900,143143,139807
225,10,15,622066,397035,474499
226,4,7,149400,42583,37763
227,1,1,20000,0,0
228,11,19,384200,326983,240799
229,7,19,87000,39555,7430
230,1,3,18000,0,2550
231,2,2,18000,2110,7361
232,6,10,120000,54047,75884
234,3,14,19000,126,2320
235,8,25,213910,146157,148347
236,4,16,197500,189168,180669
237,2,10,17000,14000,5371
238,5,6,40000,38986,39108
239,2,3,70000,4785,7508
240,2,6,41667,26118,25322
241,12,16,294500,256095,240765
242,7,12,66000,10212,13036
243,1,1,10000,4988,3203
244,9,17,667578,467495,548640
245,1,2,8000,4103,5992
246,4,5,120000,32617,42090
247,1,1,50000,50167,48687
248,4,7,61600,72194,64580
249,5,7,146000,107488,92323
250,7,17,253000,221252,182072
251,2,4,139475,42127,7152
252,4,7,220000,218675,207393
253,7,14,279900,119343,116072
254,1,3,72900,29780,31338
255,8,14,718500,244527,265821
256,3,4,325000,243358,253650
257,7,12,504098,414850,326311
258,8,13,136000,46299,35248
259,2,2,38000,15358,14869
260,2,3,64000,0,34298
261,10,14,237600,127033,143089
262,9,14,545484,364642,356919
263,4,16,157000,43328,34075
264,3,13,56000,43997,38462
265,6,18,133000,96248,109192
266,9,12,179750,191057,194700
267,4,8,150000,1255,18294
268,11,17,145800,106957,98151
269,2,3,0,97706,130227
270,4,6,145100,94230,90580
271,2,5,132000,119,279
272,1,1,12000,0,0
273,3,14,48000,788,5633
274,10,19,645000,190807,177670
275,10,44,720127,159340,150881
276,1,1,115458,4058,4049
277,7,21,216300,66205,72040
278,5,6,116000,89263,104199
280,1,1,8000,3124,3044
281,6,33,244500,215244,87883
282,5,6,71167,18539,25468
283,1,1,3000,0,0
284,8,20,80100,24235,29817
285,4,6,90600,75399,71898
286,6,9,99000,46597,145232
288,4,15,186400,18219,25105
289,7,11,348399,327337,327763
290,2,4,110000,95706,73192
291,1,2,15000,0,0
293,10,13,178001,158830,146204
294,6,16,203167,54697,53198
295,4,5,121300,70884,117208
296,4,8,124000,57186,60856
297,3,14,66000,25499,40042
298,7,8,240500,149612,108893
299,2,2,106000,103685,53281
300,4,4,120100,3632,9661
301,6,10,264693,152001,118578
302,3,7,116000,12362,26018
303,11,30,527269,258008,174908
304,8,14,983000,105658,56267
305,1,1,9000,5292,7052
306,2,3,53667,46610,21862
307,2,3,10000,2613,2613
308,9,14,371701,282862,254757
309,3,17,75000,0,0
311,2,3,75000,27018,29552
312,5,7,23600,870,1144
313,9,15,420000,358102,286772
314,5,5,94000,64828,54688
316,3,3,52000,21412,27604
317,10,19,530975,123933,152672
318,8,13,423000,360778,354371
319,3,13,28000,22810,22952
320,3,4,223000,65291,29630
321,8,11,132800,59991,68995
322,3,4,120700,115358,113747
323,11,27,267968,22667,106406
324,9,16,427800,99158,182901
325,7,19,114600,63909,47749
326,9,13,148394,35138,34915
327,8,18,276616,135978,250965
328,3,11,20000,18946,11534
329,6,23,112121,102334,105656
330,7,19,426667,319317,284229
331,3,24,72000,0,341
332,6,27,124000,69298,49825
333,4,5,180000,40419,31532
334,2,3,26000,0,0
335,12,16,731195,15377,55697
336,2,2,10000,9319,9295
337,2,3,23000,2198,570
338,1,1,20000,4968,2151
339,3,3,50000,293,3283
340,5,6,106000,7020,10879
341,4,6,94300,73014,53867
342,3,33,54000,7763,5019
343,8,9,440800,317225,276840
344,2,3,0,0,20965
345,13,15,181400,173175,169992
346,1,3,10000,0,611
347,2,3,28000,18762,18759
348,6,9,190000,114499,133159
349,6,9,117000,68016,67665
350,13,16,155000,34240,59618
351,12,22,215577,101761,77647
352,3,13,56000,51146,33412
353,2,3,40000,29474,30879
354,9,20,521300,189923,168248
355,2,2,30000,25,11
356,6,9,275800,250132,245607
357,4,5,146000,33480,119163
358,2,5,117000,100159,85441
359,4,6,46001,0,46151
360,2,2,0,93613,96947
361,2,6,125000,64006,70058
362,4,5,27000,14943,14920
363,2,3,25000,0,0
364,3,13,166500,94394,49967
365,11,29,342100,0,158371
366,10,25,267333,193288,182946
367,1,1,50000,49486,32525
369,3,14,66000,16313,20794
370,6,10,344000,22127,67341
371,5,7,182000,61902,52525
372,9,14,166000,99101,111754
374,7,12,299600,300959,172097
375,2,2,15000,0,0
376,16,43,563017,418064,222959
377,5,18,407038,301492,310567
378,7,31,209487,0,1316
379,1,1,5000,1371,1467
380,7,20,277609,66001,103655
381,6,7,43000,14585,14861
382,4,9,156000,2292,45081
383,10,28,410681,290098,282480
384,5,6,140500,47675,37583
385,2,2,8000,3538,3538
386,4,8,165000,160521,160340
387,6,11,177125,138553,96281
388,1,1,2000,0,1
389,2,4,55000,34997,33351
390,1,1,30000,2,8335
391,2,3,0,0,0
392,3,5,60100,45228,55357
393,10,12,257000,85904,60590
394,8,10,177000,445,33374
395,2,2,6000,30,303
396,4,6,75588,20575,22479
397,8,17,272000,175581,192319
398,2,2,55000,31386,34478
399,3,25,248820,78359,107653
400,3,18,180667,102056,116037
401,8,12,323000,112743,114240
402,6,7,114300,171419,88967
403,4,8,265093,161869,167840
404,1,1,9000,0,0
405,2,5,190000,92112,110861
406,7,12,136667,64468,64197
407,8,15,146000,188549,96572
408,5,8,584200,98440,82679
409,14,25,447000,355161,229443
410,4,7,143500,60454,50877
411,7,15,175000,157725,109742
412,9,23,219000,155162,139738
413,13,50,328500,150666,137814
414,8,15,110000,116594,107420
415,3,4,182667,88121,83909
416,3,16,78000,0,4647
417,7,14,54000,41589,23623
418,7,12,245851,67802,120324
419,4,4,42000,15477,22001
420,11,29,592500,429393,212461
421,12,19,701442,161163,174790
422,2,5,84000,13757,13731
423,3,4,93000,0,884
424,1,2,30000,0,0
425,15,45,1269722,452905,486857
426,6,14,734493,508101,558734
427,6,15,142700,58558,35182
428,7,13,485617,218698,172767
429,4,10,724000,462202,465971
430,11,19,180000,142284,147016
431,7,9,173000,65490,25835
432,2,3,110000,91446,45230
433,4,4,50000,67,34
434,4,10,183000,155321,193934
435,7,9,269800,183472,136882
436,6,13,175000,16555,165856
437,1,2,5000,2539,1270
438,3,13,20000,19504,15900
439,8,23,597283,352061,315104
440,7,12,371001,126887,128580
441,12,27,542410,236110,214863
442,5,18,224000,153802,131528
443,2,13,50000,46305,23623
444,1,1,4000,0,0
445,4,8,409541,211617,240651
446,4,12,187444,8172,38290
447,1,11,3000,0,1368
448,3,4,65000,41120,20264
449,1,1,2000,0,0
450,2,12,86000,28703,18142
451,5,14,283762,180324,151598
452,6,17,114000,145006,50478
453,2,14,50000,0,7108
454,1,1,25000,3719,13365
455,9,20,392234,147760,85031
456,9,14,284925,214674,201017
457,2,2,5000,5723,4512
458,1,1,5000,2334,807
459,11,14,591149,269084,216781
460,10,17,407565,275689,277016
461,7,9,73000,57644,57287
462,6,20,97400,30264,20454
463,2,2,13000,0,0
464,7,15,135516,45926,94896
465,6,7,155000,86535,63349
466,11,32,346887,168794,40051
467,3,3,40000,10164,4263
468,7,12,203352,87934,41797
469,10,26,185484,76210,85911
470,7,22,734000,8871,11724
471,3,28,126000,8800,28471
472,6,12,78000,44114,30766
473,6,7,252778,77229,76640
474,7,15,289108,155592,160182
475,5,12,170000,56689,60311
476,3,3,65000,24335,31371
477,3,13,47000,10366,15960
478,7,13,409000,340926,298603
479,3,13,18300,9996,11529
480,5,8,166000,55924,41279
481,10,32,355000,282141,279065
483,7,13,414753,239422,215522
484,3,8,153145,105954,117427
485,4,11,117253,46506,76914
486,4,9,297001,244475,226255
487,4,5,33000,10278,10644
488,3,3,27001,5805,19609
489,2,13,30000,27574,17768
490,6,11,211500,136710,121846
491,7,28,201500,171524,178837
492,4,12,121000,102576,92475
493,1,2,5000,545,2266
494,3,8,38125,16495,19391
495,4,16,92000,26009,63108
496,8,10,183800,39,526
497,4,7,36010,28,7659
498,9,23,134151,45754,47764
499,3,14,12000,6999,6980
501,3,6,121000,81674,70844
503,6,9,223253,152420,147015
504,11,13,465486,171746,211301
505,4,5,99000,117,6911
506,7,10,93618,39255,37783
507,5,26,129000,113480,103557
508,2,14,37000,4151,5627
509,5,9,234000,171068,173845
510,5,5,84000,260,13056
511,3,24,142000,92998,93861
512,6,16,289711,229299,222595
513,1,1,0,0,0
514,5,8,441067,92705,65712
515,3,3,69900,69899,69247
516,1,1,9000,0,0
517,9,18,98300,96870,97876
518,2,2,9000,4476,3199
519,7,21,69213,0,9481
520,5,8,184837,50245,38338
521,5,12,168863,51111,55709
522,8,12,140000,89032,108806
523,5,7,156000,134179,119616
524,2,3,90000,14862,5296
525,12,27,367500,107175,79592
526,2,2,12000,0,388
527,6,8,160000,31147,69023
528,4,16,223500,157850,132186
529,5,7,158000,112378,87451
530,4,14,94300,32888,40596
531,4,7,186193,86872,86904
532,1,1,61050,0,0
534,7,8,242000,143483,147452
535,10,26,660800,421800,494262
536,12,18,335100,234766,297446
537,10,12,133500,42130,51158
538,6,9,138000,112241,109811
539,9,12,950000,756673,876565
540,8,14,314500,220056,162895
541,1,1,23000,480,80
542,2,4,73800,0,5248
543,8,12,299167,203292,270253
544,4,7,64000,47500,36876
545,11,14,313410,277654,272030
546,3,3,51900,19865,20677
547,4,9,114000,40495,19039
548,12,18,711100,213870,265336
549,8,8,84501,4000,2929
550,18,28,615000,250520,290715
551,7,10,188000,110220,180198
552,4,6,49300,7567,17922
553,4,7,53200,105097,52921
554,6,8,120000,34121,130849
555,6,9,608000,422224,320961
556,6,7,127200,96128,90896
557,5,7,224900,196209,116078
558,5,7,75000,74064,71824
559,5,7,73015,68625,55972
560,6,6,109000,40847,48911
561,8,10,386000,240805,193710
562,7,21,204000,128499,179583
563,4,6,140000,8197,7953
564,2,2,20000,19485,17409
565,6,10,224365,113997,153248
566,2,2,55664,2169,2169
567,2,13,30000,18312,21602
568,1,8,15001,5790,8251
569,2,2,5000,0,0
570,8,10,187000,173204,146542
571,9,25,233000,80294,131515
572,3,4,90000,11191,6281
573,8,17,340000,219454,173328
574,6,26,401687,372635,359651
575,1,2,10000,0,0
576,3,4,75000,74821,107624
577,8,15,467969,336356,297587
578,11,34,366000,111249,222179
579,1,1,5000,0,8
580,3,14,120377,30607,17649
581,9,22,197901,51249,56633
582,4,8,211000,151538,73146
583,8,18,110500,63046,52469
584,6,22,510889,348285,236109
585,3,3,12000,3819,4135
586,2,2,68000,0,7580
587,1,2,10000,0,0
588,7,16,65001,62456,62731
589,7,13,279000,155296,185739
591,5,10,249000,1668,1918
592,7,12,70590,60618,54062
593,4,18,199000,137509,107436
594,2,3,73000,14260,9601
595,2,2,60000,38812,28930
597,4,5,213000,110375,126507
598,4,4,93000,50954,26722
599,3,13,20000,8117,8086
600,3,5,33000,0,0
601,3,4,112000,0,0
602,10,15,219001,152358,138627
603,5,30,127417,81860,91786
604,7,7,94234,76673,72998
605,2,3,58000,48591,39430
606,5,7,23000,797,282
607,9,23,264917,174094,177775
608,8,12,226000,113651,125535
609,2,12,5000,195,918
610,6,11,61000,29085,33730
611,10,23,106000,78749,74396
612,4,4,25500,0,0
613,8,19,193000,107559,112607
614,3,3,203628,3608,3917
615,1,1,22000,10000,1985
617,10,13,349334,241576,282950
618,8,13,403000,328990,300546
619,5,7,257833,38371,21839
620,5,7,194000,70507,29175
621,5,17,221000,150520,75181
622,8,11,275000,150070,164161
623,2,3,15000,81,36
624,8,11,447124,318442,295227
625,3,5,151000,61801,42138
626,3,7,63167,23798,30316
627,4,11,194500,138944,139545
628,5,19,495000,261529,309468
630,3,5,43000,18237,22627
632,3,14,35000,23159,18688
634,6,8,337700,205806,188686
635,9,16,212000,145176,136844
636,2,2,18000,9728,6952
637,6,16,112000,70084,52864
638,6,11,284558,124332,76249
639,2,2,22000,9984,6499
640,1,1,50000,45000,30520
641,3,3,131000,127130,128499
642,7,23,524497,236400,289907
643,4,5,66000,2,249
644,1,13,10000,9994,9995
646,7,14,121000,91033,83271
647,10,10,467500,13666,79592
648,6,20,121000,61095,60660
649,1,2,10000,0,0
650,6,9,110000,64071,42926
651,13,27,355400,218976,201067
652,2,3,65010,0,4911
653,3,5,55281,47587,44287
654,7,19,501942,275409,294316
655,11,17,278789,128537,121255
656,5,12,139353,87722,92546
657,9,15,288100,229920,240423
658,8,26,171000,44506,42840
659,1,1,3000,0,0
660,6,8,78000,62572,52730
661,11,18,244000,148391,137574
662,10,22,275000,170279,171983
663,3,3,18000,17046,15481
664,10,22,159001,103162,45943
665,11,17,228001,131241,127993
666,8,47,542847,398252,381102
667,1,3,23000,21588,15600
669,1,1,11000,0,0
670,3,3,30000,40,1830
671,1,1,15000,0,977
672,6,11,207000,120400,118724
673,2,4,16000,203,243
675,2,13,302000,275750,96583
676,7,11,188002,256,29696
677,11,18,442000,308856,270351
678,6,35,340716,217322,266209
679,8,11,415000,249907,206436
680,1,1,20000,20000,14190
681,6,8,199000,33497,22412
682,1,1,10000,0,2375
683,12,20,375000,289838,212518
684,5,20,324500,327656,311412
685,7,12,1048000,666093,621633
686,6,8,458240,292108,273638
688,7,16,198500,161927,148146
689,2,4,19484,6820,6818
690,15,20,735000,233953,360392
691,7,20,500832,346879,320327
692,10,11,157000,152698,124738
693,6,11,103000,5234,2139
694,4,15,83400,69499,61441
695,2,6,29000,0,0
696,2,2,7000,0,0
697,9,14,295219,210862,221409
698,3,24,105000,8095,5606
700,5,10,168900,38211,79186
701,5,11,515050,293412,238265
702,3,6,81000,24042,16398
703,13,25,212352,188826,199951
704,9,26,517970,143175,146910
705,7,10,151000,67546,65303
706,4,16,31000,30823,29772
707,3,5,25000,2259,6301
708,8,20,188000,101854,81873
709,4,26,100000,96894,92959
710,4,4,142500,57863,96632
711,6,18,212712,47682,40521
712,2,3,42000,111,5140
713,2,3,57000,35043,17995
714,13,30,497000,197406,161850
715,4,7,120000,79657,75506
716,4,7,74000,23489,29280
717,3,4,65000,4554,3298
718,6,21,421000,279117,248008
719,9,22,411647,265196,216393
720,5,13,232500,17590,20013
721,7,10,199001,12846,12632
722,8,10,139000,37940,23231
723,5,15,194000,169886,179868
724,7,12,298300,142556,137374
725,7,13,436373,211536,248006
726,7,12,451000,342140,323750
727,5,9,117400,56982,87842
728,4,5,56000,0,104
729,5,15,1006577,262668,347387
730,3,6,358164,220634,199436
731,2,3,38000,23853,18959
732,1,11,5000,0,0
733,2,14,53000,24709,9295
734,3,4,49000,101,10118
735,1,11,10000,521,479
736,6,17,94500,92570,78300
737,9,27,356714,62633,47168
738,12,27,805419,379194,436625
739,3,5,59000,43876,23900
740,9,20,297030,166032,108302
741,4,4,109000,67721,54045
742,3,3,82000,46096,44519
743,8,23,148500,135442,132587
744,3,5,36001,23941,21239
745,6,9,328300,237545,270810
746,3,3,52161,8985,16457
747,4,12,128000,55352,69545
748,1,1,11000,0,0
749,7,14,462001,333086,288524
750,3,4,69000,69166,64489
751,8,9,166500,88826,84385
752,3,4,56000,0,0
753,12,36,336302,266558,195757
754,7,16,332000,30681,108692
755,8,11,350500,261828,250878
756,7,10,478000,216468,215558
757,4,7,206000,125132,102918
758,3,5,36000,32051,22954
759,9,11,229000,218985,217218
760,1,2,0,52666,46322
761,5,11,72100,51662,42624
762,5,5,67001,1592,1876
763,5,9,167738,69934,63912
764,3,3,219021,16092,15996
765,5,7,172700,93474,81787
766,3,7,82708,3312,4036
767,2,2,41000,3822,2415
768,1,1,2000,0,0
769,7,11,262000,167121,126264
770,6,18,185000,82734,80120
771,2,2,10000,6990,6990
772,4,9,170000,133020,118911
773,1,3,22000,10190,12279
774,9,10,308000,86970,67171
775,7,18,106000,91262,93938
776,6,11,206944,45357,73346
777,1,6,20000,2379,2857
778,2,2,12000,0,2
779,4,5,137000,46344,54354
780,2,12,20000,8968,8619
781,4,9,410235,170370,175542
782,6,11,228328,98703,70717
783,4,4,55000,21164,18497
784,13,34,400500,267228,289851
785,7,27,211000,84197,77212
786,1,20,100000,63807,36413
787,11,31,216333,148717,160567
788,10,22,114190,50906,61873
789,7,9,95000,82998,67522
790,3,4,77000,71794,71987
791,6,10,232000,228017,237043
792,2,2,69000,26024,36273
793,3,10,229254,91141,80477
794,1,2,18000,0,11212
795,2,2,33000,5850,8005
796,9,15,244700,223702,221504
797,3,7,191208,78703,88207
798,7,18,412120,196464,219222
799,2,14,71300,60310,60089
800,5,18,57000,34743,48504
801,4,7,143000,91913,81308
802,2,24,17000,4697,4770
803,3,4,50000,533,6451
804,9,14,175000,146836,143004
805,2,3,40000,4024,3012
806,1,1,5000,24,1859
807,5,18,107362,49753,36968
808,13,27,300921,182252,190872
809,3,3,59000,32185,24970
810,8,19,317000,41738,55669
811,7,17,387000,221038,230710
812,7,17,313567,92888,170834
813,3,4,46000,42667,40715
814,10,33,404812,211634,215247
815,4,15,68000,21409,29032
816,4,7,170406,98408,85678
817,15,24,600100,29819,86755
818,4,4,35000,18015,19880
819,10,13,207000,137197,76580
820,2,4,237333,216440,230200
821,1,1,30000,24641,19542
822,11,13,602600,558871,405723
823,5,6,83200,70402,70620
824,1,1,5668,1607,1607
825,7,16,185500,129817,120303
826,11,18,456219,295562,255580
827,2,12,6000,0,0
828,1,3,20000,0,0
829,3,3,68200,4981,2660
830,2,12,9000,1036,3536
831,2,2,105000,3743,18803
832,8,9,499000,62388,136575
833,5,7,98200,97574,83749
834,3,8,122475,53641,77271
835,12,29,438500,299196,323999
836,2,2,13000,0,0
837,6,17,276885,233246,169393
838,6,14,77050,65555,66218
839,5,5,90000,82971,67079
840,3,27,125223,49393,100708
841,6,20,292000,161900,110821
842,4,4,68000,64355,63056
843,5,5,217000,187300,167756
844,14,23,956262,451793,540054
845,4,13,177000,140386,63147
846,1,1,20000,4279,713
847,6,9,286573,65756,88129
848,5,21,281718,79191,102889
849,2,3,86000,13510,17678
850,1,2,18200,11810,16407
851,5,5,113500,74500,61560
852,4,4,147759,116084,91840
853,10,32,702000,621971,533673
854,3,5,56001,42022,36804
855,7,10,105458,41511,64387
856,9,28,738500,585171,318643
857,1,11,10000,1510,2276
858,7,10,287000,117464,110383
859,2,13,48000,25635,9949
860,3,5,108180,66506,58921
861,9,13,138700,96680,66928
862,3,4,83000,1084,1789
863,2,3,23000,3584,5847
864,10,25,388718,50800,39540
865,4,9,246418,271703,233969
866,7,9,222430,124325,134433
867,6,12,156500,56334,62500
868,1,1,3000,0,0
869,5,8,697437,42266,61787
870,5,8,165900,66726,70988
871,3,3,22000,2980,5733
872,4,25,210000,111212,117462
873,11,18,400716,186543,163571
874,12,15,696200,475900,418152
875,8,13,471583,320941,340510
876,4,7,177000,0,0
877,2,7,84286,88965,52833
878,11,20,528250,149359,135450
879,2,4,90000,1388,5489
880,8,22,132102,424,3175
881,2,2,22000,2891,1985
882,5,6,38000,36958,36863
883,3,4,98000,54946,31541
884,2,2,90000,15834,19583
885,5,29,134000,60799,61111
886,2,13,43000,0,1127
887,2,9,140000,85449,63991
888,4,13,217000,156574,184928
889,10,12,246500,201380,222100
890,6,19,170001,166230,155674
891,4,14,118000,16759,16119
892,5,8,193700,294928,282322
893,4,13,112500,4051,9272
894,4,6,152000,7546,2712
895,11,18,424500,375693,351681
896,3,7,525000,232586,228153
897,11,14,706200,324241,317790
898,1,1,2000,1163,523
899,5,7,78000,8015,17534
900,5,7,475000,428453,443799
901,1,1,10000,0,0
902,2,24,140000,138853,55296
903,2,8,37000,12048,8595
904,5,7,494500,142717,141956
905,5,16,115000,4709,4667
906,6,11,320600,226601,219885
907,2,3,38500,36955,33270
908,1,2,20000,6949,5967
909,9,26,343000,102066,124449
910,6,12,249500,119240,199800
911,4,6,46000,5150,5358
912,4,5,507000,146825,146289
914,4,14,297000,19585,22037
915,2,3,43000,13398,7502
916,7,7,260000,110267,155788
917,2,9,240000,87702,84328
918,6,19,244167,195138,189495
919,2,2,23000,8941,13077
920,7,13,187100,16959,19891
921,7,9,485992,144145,101212
922,9,13,819578,373626,304210
923,5,11,230000,128886,124252
924,2,10,0,5711,8748
925,6,9,233900,106276,87489
926,4,5,114570,1473,1937
927,2,2,28000,128,64
928,5,9,42400,28536,31685
929,1,2,39000,17622,12819
930,7,16,222000,209477,177359
931,3,13,30000,23383,23374
932,8,26,1760000,335125,377200
933,9,15,253500,209658,202194
934,7,23,222650,161118,198630
935,5,9,339600,76998,79130
936,1,2,6000,0,0
937,6,11,127414,1724,1760
938,5,11,229000,133504,128529
939,3,7,111000,63151,55391
940,4,19,120000,62895,71464
941,9,18,706000,151496,167615
943,1,2,17500,11747,5162
944,3,4,110200,103166,84719
945,10,13,342200,198985,163570
946,1,1,10000,0,0
947,6,10,202700,137747,116934
948,5,18,320190,69344,57584
949,1,3,20000,20172,20375
950,5,6,72256,35819,38814
951,10,23,407000,160628,60198
952,4,15,75000,153,5208
953,8,16,467900,300645,249052
954,10,13,342488,113974,156612
955,8,25,753000,298466,283338
956,4,7,100000,90474,109222
957,6,8,61000,47728,24092
958,5,12,486666,257264,280694
959,6,9,404417,278014,259904
960,5,24,111000,0,15834
961,3,4,73200,38394,25355
962,4,7,73000,58651,57413
963,1,1,7000,3567,2358
964,8,15,311267,107049,134998
965,15,37,587300,259976,264709
966,3,15,98500,30733,39252
967,5,5,138000,65815,69151
968,1,1,10000,0,0
969,1,1,180000,169308,139808
970,4,5,25000,24908,19492
971,3,4,34444,2886,7002
972,2,3,23000,25889,17128
973,3,4,41000,0,6214
