cust_id,basic_1,basic_2,basic_3
329,28,2.0,20.0
330,46,2.0,20.0
331,44,2.0,30.0
332,43,1.0,60.0
333,51,1.0,30.0
334,39,1.0,91.0
335,37,1.0,20.0
336,48,1.0,
337,45,2.0,30.0
338,47,2.0,91.0
339,36,1.0,90.0
340,38,2.0,99.0
341,33,1.0,20.0
342,51,1.0,99.0
343,51,1.0,30.0
344,33,1.0,30.0
345,41,1.0,30.0
346,26,1.0,30.0
347,56,1.0,60.0
348,52,2.0,30.0
349,51,1.0,60.0
350,45,2.0,30.0
351,28,1.0,20.0
352,55,1.0,60.0
353,51,1.0,91.0
354,28,1.0,20.0
355,47,1.0,60.0
356,54,1.0,30.0
357,40,2.0,20.0
358,46,1.0,20.0
359,40,1.0,60.0
360,25,1.0,30.0
361,52,1.0,40.0
362,42,1.0,40.0
363,41,1.0,30.0
364,36,1.0,60.0
365,40,1.0,30.0
366,45,1.0,30.0
367,36,1.0,91.0
368,34,1.0,91.0
369,40,1.0,60.0
370,41,1.0,60.0
371,44,2.0,60.0
372,38,1.0,30.0
373,39,1.0,30.0
374,41,1.0,60.0
375,29,1.0,30.0
376,42,1.0,40.0
377,51,1.0,20.0
378,42,1.0,99.0
379,55,1.0,91.0
380,33,1.0,20.0
381,49,1.0,20.0
382,42,1.0,20.0
383,55,1.0,99.0
384,29,1.0,20.0
385,28,1.0,60.0
386,46,1.0,30.0
387,47,1.0,30.0
388,30,1.0,60.0
389,40,2.0,30.0
390,51,2.0,60.0
391,57,2.0,30.0
392,39,2.0,91.0
393,45,2.0,30.0
394,36,2.0,91.0
395,41,1.0,60.0
396,30,1.0,60.0
397,49,1.0,20.0
398,32,1.0,60.0
399,29,1.0,99.0
400,55,1.0,20.0
401,33,2.0,30.0
402,27,2.0,40.0
403,42,1.0,99.0
404,49,2.0,30.0
405,44,2.0,60.0
406,46,2.0,99.0
407,47,1.0,40.0
408,48,1.0,99.0
409,48,1.0,40.0
410,40,1.0,30.0
411,39,2.0,30.0
412,31,1.0,20.0
413,32,2.0,99.0
414,36,1.0,99.0
415,45,1.0,40.0
416,46,1.0,30.0
417,33,1.0,30.0
418,49,2.0,91.0
419,42,1.0,99.0
420,56,1.0,40.0
421,35,1.0,20.0
422,37,1.0,30.0
423,26,2.0,20.0
424,45,1.0,20.0
425,54,1.0,20.0
426,42,1.0,20.0
427,33,2.0,30.0
428,47,1.0,30.0
429,54,1.0,91.0
430,35,1.0,40.0
431,35,1.0,91.0
432,49,1.0,99.0
433,44,2.0,40.0
434,45,1.0,20.0
435,56,2.0,60.0
436,44,1.0,30.0
437,45,1.0,60.0
438,39,1.0,91.0
439,43,1.0,60.0
440,34,1.0,30.0
441,33,1.0,60.0
442,48,2.0,40.0
443,49,1.0,99.0
444,38,1.0,40.0
445,47,1.0,99.0
446,50,1.0,60.0
447,42,1.0,91.0
448,47,1.0,60.0
449,51,1.0,60.0
450,33,2.0,30.0
451,49,1.0,30.0
452,42,1.0,30.0
453,43,2.0,30.0
454,47,1.0,91.0
455,50,1.0,91.0
456,48,1.0,30.0
457,51,1.0,60.0
458,30,1.0,40.0
459,43,1.0,60.0
460,51,1.0,60.0
461,28,1.0,30.0
462,35,1.0,30.0
463,59,1.0,30.0
464,45,1.0,40.0
465,36,2.0,99.0
466,32,1.0,91.0
467,49,1.0,60.0
468,44,1.0,60.0
469,38,1.0,99.0
470,47,1.0,10.0
471,61,2.0,30.0
472,30,1.0,91.0
473,41,1.0,20.0
474,38,1.0,20.0
475,47,1.0,60.0
476,30,1.0,30.0
477,46,1.0,30.0
478,42,2.0,30.0
479,47,1.0,30.0
480,46,2.0,91.0
481,46,2.0,30.0
482,45,1.0,
483,45,1.0,20.0
484,36,1.0,20.0
485,43,2.0,99.0
486,46,2.0,30.0
487,44,1.0,40.0
488,39,1.0,40.0
489,35,1.0,91.0
490,48,2.0,40.0
491,47,1.0,60.0
492,35,1.0,30.0
493,37,1.0,30.0
494,41,2.0,60.0
495,38,2.0,60.0
496,29,1.0,30.0
497,54,1.0,60.0
498,53,1.0,60.0
499,47,1.0,60.0
500,40,1.0,60.0
501,37,1.0,20.0
502,35,1.0,91.0
503,41,1.0,20.0
504,32,1.0,30.0
505,39,1.0,40.0
506,33,2.0,40.0
507,47,1.0,60.0
508,35,2.0,20.0
509,45,1.0,60.0
510,39,2.0,30.0
511,36,1.0,60.0
512,50,1.0,99.0
513,45,1.0,91.0
514,30,1.0,30.0
515,42,1.0,30.0
516,55,1.0,90.0
517,31,1.0,30.0
518,46,1.0,30.0
519,33,1.0,91.0
520,33,1.0,60.0
521,48,1.0,99.0
522,35,2.0,99.0
523,54,1.0,60.0
524,52,1.0,60.0
525,34,1.0,30.0
526,32,1.0,99.0
527,51,1.0,30.0
528,38,2.0,40.0
529,45,2.0,30.0
530,53,1.0,30.0
531,39,1.0,91.0
532,43,2.0,91.0
533,28,1.0,
534,39,1.0,30.0
535,42,1.0,30.0
536,34,1.0,40.0
537,39,1.0,30.0
538,48,2.0,30.0
539,49,1.0,30.0
540,34,1.0,30.0
541,51,1.0,30.0
542,41,1.0,60.0
543,33,1.0,20.0
544,27,1.0,30.0
545,43,1.0,10.0
546,41,1.0,91.0
547,53,2.0,60.0
548,39,1.0,60.0
549,53,1.0,20.0
550,40,1.0,20.0
551,38,1.0,30.0
552,32,1.0,99.0
553,36,1.0,20.0
554,36,2.0,30.0
555,37,2.0,30.0
556,39,2.0,30.0
557,39,2.0,30.0
558,44,1.0,60.0
559,40,1.0,30.0
560,46,1.0,40.0
561,53,1.0,60.0
562,39,1.0,60.0
563,43,1.0,99.0
564,53,2.0,60.0
565,45,1.0,60.0
566,47,1.0,91.0
567,39,1.0,60.0
568,33,1.0,30.0
569,44,1.0,99.0
570,31,2.0,30.0
571,49,1.0,60.0
572,34,2.0,20.0
573,42,1.0,30.0
574,36,1.0,40.0
575,47,1.0,30.0
576,35,2.0,99.0
577,56,1.0,20.0
578,51,2.0,20.0
579,38,1.0,99.0
580,47,2.0,20.0
581,40,2.0,99.0
582,37,1.0,30.0
583,26,1.0,99.0
584,35,1.0,30.0
585,53,1.0,90.0
586,48,1.0,60.0
587,34,2.0,60.0
588,35,1.0,99.0
589,44,1.0,60.0
590,47,1.0,20.0
591,47,1.0,20.0
592,35,1.0,30.0
593,47,1.0,40.0
594,59,1.0,60.0
595,33,1.0,40.0
596,51,1.0,91.0
597,52,1.0,20.0
598,40,1.0,99.0
599,36,2.0,30.0
600,48,1.0,20.0
601,44,1.0,30.0
602,48,1.0,30.0
603,47,1.0,99.0
604,33,1.0,30.0
605,53,2.0,30.0
606,54,1.0,10.0
607,31,1.0,60.0
608,42,2.0,20.0
609,26,1.0,30.0
610,33,1.0,40.0
611,37,2.0,30.0
612,46,2.0,60.0
613,51,1.0,91.0
614,50,1.0,30.0
615,53,1.0,40.0
616,43,1.0,91.0
617,33,1.0,20.0
618,31,1.0,30.0
619,46,1.0,30.0
620,39,1.0,40.0
621,24,1.0,20.0
622,46,1.0,60.0
623,24,2.0,40.0
624,31,2.0,20.0
625,40,2.0,99.0
626,30,1.0,99.0
627,40,1.0,30.0
628,39,1.0,60.0
629,52,1.0,30.0
630,52,2.0,30.0
631,46,1.0,91.0
632,45,2.0,60.0
633,45,1.0,91.0
634,39,1.0,20.0
635,49,2.0,91.0
636,44,2.0,
637,29,1.0,30.0
638,31,1.0,20.0
639,40,1.0,30.0
640,29,1.0,91.0
641,39,2.0,60.0
642,45,2.0,10.0
643,43,2.0,30.0
644,52,2.0,30.0
645,59,1.0,60.0
646,34,2.0,60.0
647,41,1.0,30.0
648,56,1.0,30.0
649,55,2.0,30.0
650,33,2.0,30.0
651,35,1.0,30.0
652,40,1.0,40.0
653,40,1.0,99.0
654,42,2.0,20.0
655,38,1.0,40.0
656,37,1.0,30.0
657,56,1.0,20.0
658,40,1.0,99.0
659,43,1.0,91.0
660,35,2.0,99.0
661,34,1.0,30.0
662,45,1.0,40.0
663,30,1.0,30.0
664,33,2.0,30.0
665,47,1.0,60.0
666,35,1.0,20.0
667,43,2.0,30.0
668,38,1.0,91.0
669,51,1.0,20.0
670,43,1.0,91.0
671,56,2.0,60.0
672,36,1.0,30.0
673,48,1.0,91.0
674,35,1.0,90.0
675,55,1.0,20.0
676,47,1.0,30.0
677,48,2.0,60.0
678,54,2.0,30.0
679,52,2.0,30.0
680,49,2.0,60.0
681,36,2.0,40.0
682,51,1.0,60.0
683,55,1.0,91.0
684,45,1.0,30.0
685,54,1.0,30.0
686,36,1.0,20.0
687,26,1.0,60.0
688,50,2.0,30.0
689,49,2.0,20.0
690,33,1.0,60.0
691,38,1.0,30.0
692,45,1.0,30.0
693,35,1.0,30.0
694,44,2.0,30.0
695,26,2.0,40.0
696,54,1.0,20.0
697,44,1.0,60.0
698,46,1.0,91.0
699,34,2.0,40.0
700,40,1.0,30.0
701,32,1.0,30.0
702,49,1.0,30.0
703,42,1.0,20.0
704,50,2.0,30.0
705,33,1.0,91.0
706,29,1.0,30.0
707,34,2.0,40.0
708,32,1.0,20.0
709,42,1.0,60.0
710,28,2.0,30.0
711,31,1.0,60.0
712,49,2.0,20.0
713,55,1.0,30.0
714,43,1.0,30.0
715,33,1.0,20.0
716,50,2.0,30.0
717,45,1.0,30.0
718,45,2.0,30.0
719,45,2.0,20.0
720,50,1.0,30.0
721,39,1.0,90.0
722,53,1.0,60.0
723,42,1.0,60.0
724,52,1.0,30.0
725,47,1.0,30.0
726,33,1.0,20.0
727,53,2.0,
728,53,1.0,20.0
729,43,1.0,20.0
730,54,1.0,30.0
731,52,1.0,60.0
732,52,1.0,40.0
733,34,1.0,30.0
734,56,1.0,40.0
735,54,1.0,30.0
736,47,2.0,30.0
737,40,1.0,20.0
738,42,1.0,99.0
739,27,1.0,20.0
740,38,1.0,99.0
741,28,1.0,30.0
742,46,1.0,60.0
743,46,1.0,60.0
744,44,2.0,30.0
745,35,1.0,30.0
746,34,2.0,91.0
747,39,1.0,60.0
748,40,2.0,20.0
749,43,1.0,30.0
750,54,1.0,40.0
751,40,2.0,60.0
752,30,1.0,30.0
753,45,2.0,60.0
754,37,1.0,20.0
755,38,1.0,30.0
756,41,1.0,20.0
757,36,2.0,30.0
758,43,1.0,91.0
759,33,1.0,91.0
760,50,1.0,30.0
761,30,1.0,60.0
762,33,2.0,30.0
763,38,2.0,30.0
764,29,2.0,30.0
765,50,2.0,20.0
766,27,1.0,99.0
767,32,1.0,60.0
768,58,1.0,91.0
769,40,2.0,30.0
770,46,1.0,91.0
771,34,1.0,91.0
772,42,1.0,30.0
773,33,1.0,60.0
774,44,2.0,40.0
775,29,1.0,20.0
776,39,1.0,30.0
777,49,2.0,60.0
778,29,1.0,30.0
779,36,2.0,20.0
780,56,1.0,60.0
781,46,2.0,20.0
782,46,1.0,30.0
783,45,2.0,60.0
784,45,1.0,40.0
785,34,1.0,99.0
786,46,1.0,30.0
787,40,1.0,20.0
788,41,1.0,30.0
789,42,2.0,40.0
790,33,2.0,60.0
791,32,2.0,20.0
792,57,1.0,91.0
793,47,1.0,30.0
794,51,2.0,91.0
795,46,1.0,20.0
796,41,2.0,20.0
797,47,1.0,99.0
798,54,2.0,20.0
799,38,1.0,60.0
800,32,1.0,99.0
801,46,1.0,60.0
802,43,1.0,40.0
803,37,1.0,30.0
804,48,1.0,30.0
805,46,1.0,30.0
806,55,1.0,30.0
807,33,1.0,30.0
808,32,1.0,60.0
809,40,1.0,91.0
810,40,1.0,99.0
811,49,2.0,30.0
812,37,1.0,60.0
813,34,2.0,30.0
814,47,2.0,30.0
815,51,1.0,91.0
816,32,1.0,99.0
817,40,2.0,30.0
818,40,1.0,30.0
819,60,2.0,40.0
820,42,1.0,40.0
821,39,2.0,91.0
822,29,1.0,30.0
823,34,2.0,30.0
824,32,1.0,60.0
825,45,1.0,60.0
826,48,2.0,60.0
827,41,1.0,30.0
828,43,1.0,60.0
829,54,1.0,30.0
830,33,1.0,30.0
831,51,2.0,60.0
832,53,2.0,30.0
833,47,1.0,40.0
834,34,1.0,30.0
835,44,2.0,99.0
836,44,1.0,60.0
837,40,2.0,40.0
838,36,1.0,60.0
839,54,2.0,60.0
840,32,1.0,60.0
841,41,2.0,60.0
842,42,1.0,99.0
843,34,1.0,99.0
844,54,1.0,30.0
845,31,1.0,99.0
846,39,2.0,60.0
847,38,1.0,20.0
848,53,1.0,20.0
849,32,1.0,60.0
850,49,1.0,99.0
851,54,1.0,40.0
852,42,1.0,60.0
853,36,1.0,20.0
854,42,1.0,20.0
855,49,1.0,40.0
856,41,2.0,60.0
857,23,1.0,30.0
858,48,1.0,40.0
859,36,2.0,99.0
860,56,2.0,40.0
861,30,1.0,20.0
862,36,1.0,30.0
863,26,1.0,30.0
864,27,1.0,20.0
865,46,2.0,30.0
866,35,1.0,40.0
867,47,1.0,60.0
868,38,2.0,30.0
869,50,2.0,30.0
870,28,2.0,91.0
871,47,1.0,30.0
872,59,2.0,20.0
873,34,1.0,99.0
874,39,2.0,40.0
875,53,1.0,30.0
876,51,1.0,60.0
877,39,1.0,30.0
878,45,1.0,99.0
879,56,1.0,99.0
880,30,1.0,30.0
881,44,1.0,60.0
882,47,2.0,60.0
883,48,1.0,91.0
884,38,1.0,99.0
885,50,1.0,30.0
886,31,1.0,60.0
887,35,1.0,20.0
888,34,2.0,40.0
889,40,1.0,91.0
890,42,1.0,20.0
891,27,1.0,60.0
892,30,1.0,60.0
893,35,1.0,99.0
894,45,1.0,30.0
895,31,1.0,40.0
896,39,1.0,30.0
897,34,1.0,60.0
898,49,1.0,91.0
899,55,1.0,60.0
900,50,1.0,60.0
901,37,1.0,40.0
902,35,1.0,20.0
903,33,2.0,91.0
904,33,2.0,30.0
905,36,2.0,30.0
906,41,2.0,99.0
907,51,1.0,30.0
908,31,1.0,20.0
909,46,1.0,99.0
910,43,1.0,91.0
911,25,1.0,40.0
912,48,2.0,30.0
913,47,2.0,20.0
914,50,1.0,30.0
915,33,1.0,40.0
916,40,2.0,60.0
917,39,2.0,20.0
918,39,1.0,20.0
919,33,2.0,99.0
920,40,1.0,20.0
921,37,1.0,30.0
922,51,2.0,91.0
923,53,1.0,30.0
924,37,1.0,60.0
925,40,1.0,60.0
926,41,2.0,30.0
927,39,1.0,30.0
928,24,2.0,30.0
929,33,1.0,40.0
930,39,1.0,99.0
931,40,2.0,30.0
932,51,1.0,60.0
933,38,1.0,20.0
934,44,1.0,20.0
935,38,2.0,30.0
936,45,1.0,60.0
937,51,1.0,20.0
938,43,2.0,99.0
939,36,1.0,20.0
940,36,1.0,30.0
941,54,1.0,20.0
942,48,2.0,60.0
943,48,2.0,20.0
944,37,1.0,20.0
945,31,2.0,30.0
946,56,1.0,91.0
947,52,2.0,60.0
948,29,1.0,20.0
949,38,2.0,60.0
950,50,1.0,91.0
951,38,2.0,40.0
952,53,1.0,60.0
953,41,1.0,20.0
954,41,1.0,30.0
955,49,1.0,30.0
956,34,1.0,20.0
957,48,2.0,40.0
958,40,1.0,20.0
959,54,1.0,20.0
960,32,1.0,99.0
961,44,1.0,30.0
962,42,2.0,99.0
963,55,2.0,60.0
964,50,2.0,30.0
965,35,1.0,60.0
966,36,2.0,91.0
967,35,1.0,30.0
968,44,1.0,60.0
969,50,1.0,60.0
970,52,1.0,91.0
971,47,1.0,91.0
972,50,1.0,20.0
973,40,1.0,91.0
974,53,1.0,30.0
975,41,1.0,30.0
976,34,1.0,20.0
977,42,1.0,60.0
978,36,2.0,30.0
979,54,1.0,90.0
980,54,2.0,40.0
981,54,1.0,40.0
982,47,1.0,20.0
983,40,1.0,60.0
984,53,1.0,30.0
985,35,1.0,60.0
986,44,1.0,30.0
987,51,1.0,30.0
988,36,1.0,30.0
989,35,1.0,20.0
990,37,1.0,30.0
991,35,2.0,20.0
992,44,1.0,30.0
993,40,1.0,20.0
994,38,2.0,30.0
995,41,1.0,60.0
996,43,1.0,60.0
997,55,1.0,30.0
998,49,1.0,60.0
999,39,1.0,20.0
1000,33,1.0,99.0
1001,55,1.0,20.0
1002,37,2.0,20.0
1003,46,2.0,99.0
1004,50,1.0,40.0
1005,46,1.0,30.0
1006,30,1.0,90.0
1007,46,1.0,40.0
1008,47,1.0,10.0
1009,42,1.0,60.0
1010,28,2.0,30.0
1011,31,1.0,20.0
1012,34,2.0,20.0
1013,34,1.0,60.0
1014,28,1.0,40.0
1015,31,2.0,30.0
1016,42,1.0,91.0
1017,47,2.0,40.0
1018,52,1.0,60.0
1019,30,1.0,40.0
1020,35,1.0,20.0
1021,37,2.0,40.0
1022,53,1.0,91.0
1023,52,1.0,60.0
1024,38,1.0,40.0
1025,31,1.0,30.0
1026,48,1.0,99.0
1027,50,1.0,99.0
1028,40,2.0,40.0
1029,43,1.0,60.0
1030,49,2.0,91.0
1031,52,2.0,30.0
1032,43,2.0,30.0
1033,37,1.0,20.0
1034,46,1.0,20.0
1035,37,1.0,30.0
1036,41,2.0,60.0
1037,54,2.0,20.0
1038,40,1.0,30.0
1039,22,2.0,91.0
1040,49,2.0,91.0
1041,41,1.0,60.0
1042,47,2.0,30.0
1043,48,2.0,60.0
1044,41,1.0,40.0
1045,44,1.0,40.0
1046,30,2.0,60.0
1047,51,1.0,40.0
1048,28,1.0,60.0
1049,44,1.0,91.0
1050,49,1.0,20.0
1051,42,1.0,91.0
1052,47,1.0,60.0
1053,39,1.0,30.0
1054,50,1.0,30.0
1055,52,1.0,30.0
1056,30,1.0,40.0
1057,33,1.0,40.0
1058,37,2.0,20.0
1059,48,2.0,60.0
1060,42,1.0,60.0
1061,49,1.0,30.0
1062,27,2.0,60.0
1063,38,1.0,20.0
1064,30,2.0,60.0
1065,60,2.0,60.0
1066,31,2.0,60.0
1067,38,1.0,40.0
1068,37,2.0,40.0
1069,38,1.0,60.0
1070,46,2.0,60.0
1071,31,1.0,30.0
1072,30,1.0,40.0
1073,40,1.0,20.0
1074,41,2.0,91.0
1075,58,1.0,91.0
1076,45,1.0,99.0
1077,48,2.0,30.0
1078,51,2.0,30.0
1079,41,2.0,20.0
1080,55,1.0,40.0
1081,35,2.0,30.0
1082,53,2.0,60.0
1083,29,1.0,10.0
1084,50,1.0,60.0
1085,53,2.0,91.0
1086,45,1.0,60.0
1087,40,2.0,30.0
1088,52,2.0,60.0
1089,47,2.0,30.0
1090,58,1.0,30.0
1091,42,2.0,60.0
1092,44,2.0,60.0
1093,38,2.0,30.0
1094,46,1.0,60.0
1095,34,1.0,20.0
1096,53,1.0,91.0
1097,48,2.0,60.0
1098,52,1.0,40.0
1099,40,2.0,30.0
1100,29,1.0,20.0
1101,47,1.0,30.0
1102,40,2.0,60.0
1103,50,1.0,30.0
1104,44,2.0,30.0
1105,40,1.0,30.0
1106,36,1.0,99.0
1107,42,2.0,30.0
1108,46,1.0,20.0
1109,37,1.0,30.0
1110,51,2.0,20.0
1111,50,1.0,20.0
1112,40,1.0,40.0
1113,42,1.0,30.0
1114,38,2.0,20.0
1115,33,1.0,99.0
1116,36,2.0,91.0
1117,52,2.0,20.0
1118,47,2.0,91.0
1119,46,1.0,30.0
1120,45,2.0,30.0
1121,40,1.0,91.0
1122,46,1.0,40.0
1123,57,1.0,30.0
1124,49,2.0,60.0
1125,45,2.0,30.0
1126,40,1.0,20.0
1127,29,1.0,30.0
1128,42,2.0,30.0
1129,34,1.0,20.0
1130,52,1.0,20.0
1131,49,1.0,30.0
1132,51,2.0,40.0
1133,32,2.0,30.0
1134,41,1.0,30.0
1135,42,1.0,60.0
1136,33,1.0,30.0
1137,50,2.0,40.0
1138,44,2.0,30.0
1139,43,2.0,20.0
1140,39,1.0,30.0
1141,51,1.0,60.0
1142,51,1.0,91.0
1143,34,1.0,30.0
1144,55,1.0,30.0
1145,37,1.0,30.0
1146,48,1.0,30.0
1147,51,2.0,30.0
1148,41,1.0,40.0
1149,43,1.0,60.0
1150,48,2.0,60.0
1151,57,1.0,30.0
